allDay,dayOfWeek,startHour,endHour
false,4,1100,2200
false,3,1100,2200
false,2,1100,2200
false,1,1100,2100
false,7,900,2200
false,6,800,2300
false,5,800,2300
false,4,800,2300
false,3,800,2300
false,2,800,2300
false,1,900,1900
false,7,900,1600
false,6,730,1800
false,5,730,1800
false,4,730,1800
false,3,730,1800
false,2,730,1800
false,1,900,1600
false,7,900,1900
false,6,800,1900
false,5,800,1900
false,4,800,1900
false,3,800,1900
false,2,800,1900
false,1,1000,1900
false,7,1030,2130
false,6,730,2130
false,5,730,2130
false,4,730,2130
false,3,730,2130
false,2,730,2130
false,1,1030,1930
false,7,1200,2200
false,6,1000,2200
false,5,1000,2200
false,4,1000,2200
false,3,1000,2200
false,2,1000,2200
false,1,1400,2000
false,6,1100,2200
false,5,1100,2200
false,4,1100,2200
false,3,1100,2200
false,2,1100,2200
false,7,1100,0
false,6,1100,0
false,5,1100,0
false,4,1100,0
false,3,1100,0
false,2,1100,0
false,1,1100,0
false,7,800,2300
false,6,730,2300
false,5,730,2300
false,4,730,2200
false,3,730,2200
false,2,730,2200
false,1,800,2200
false,7,1100,2300
false,6,1100,2300
false,5,1100,2300
false,4,1100,2300
false,3,1100,2300
false,2,1100,2300
false,7,800,2200
false,6,800,2200
false,5,800,2200
false,4,800,2200
false,3,800,2200
false,2,800,2200
false,7,1730,2230
false,6,1730,2230
false,6,1130,1430
false,5,1730,2230
false,5,1130,1430
false,4,1730,2230
false,4,1130,1430
false,3,1730,2230
false,3,1130,1430
false,7,1100,2230
false,6,1100,2230
false,5,1100,2230
false,4,1100,2230
false,3,1100,2230
false,2,1100,2230
false,1,1100,2230
false,7,1100,2300
false,6,1100,2300
false,5,1100,2300
false,4,1100,2300
false,3,1100,2300
false,2,1100,2300
false,1,1100,2300
false,7,800,1900
false,6,800,1900
false,5,800,1900
false,4,800,1900
false,3,800,1900
false,2,800,1900
false,1,800,1900
false,7,1200,2330
false,6,1200,2330
false,5,1200,2300
false,4,1200,2300
false,3,1200,2300
false,2,1300,2300
false,1,1200,2230
false,7,1100,1900
false,6,1000,1900
false,5,1000,1900
false,4,1000,1900
false,3,1000,1900
false,2,1000,1900
false,1,1100,1900
false,7,1730,2200
false,7,1130,1500
false,6,1730,2200
false,6,1130,1500
false,5,1730,2200
false,5,1130,1500
false,4,1730,2200
false,4,1130,1500
false,3,1730,2200
false,3,1130,1500
false,1,1730,2100
false,1,1130,1500
false,6,730,1600
false,5,730,1600
false,4,730,1600
false,3,730,1600
false,2,730,1600
false,7,1000,2200
false,6,1000,2200
false,5,1000,2200
false,4,1000,2200
false,3,1000,2200
false,2,1000,2200
false,1,1000,2200
false,7,1000,2300
false,6,1000,2300
false,5,1000,2300
false,4,1000,2300
false,3,1000,2300
false,2,1000,2300
false,1,1000,2300
false,7,1130,2200
false,6,1130,2200
false,5,1130,2200
false,4,1130,2200
false,3,1130,2200
false,2,1130,2200
false,1,1130,2200
false,7,1200,2330
false,6,1200,2330
false,5,1200,2330
false,4,1200,2330
false,3,1200,2330
false,2,1200,2330
false,1,1200,2130
false,7,1730,2200
false,6,1730,2200
false,6,1200,1430
false,5,1730,2200
false,5,1200,1430
false,4,1730,2200
false,4,1200,1430
false,3,1730,2200
false,3,1200,1430
false,2,1730,2200
false,2,1200,1430
false,7,800,1730
false,6,700,1730
false,5,700,1730
false,4,700,1730
false,3,700,1730
false,2,700,1730
false,1,800,1730
false,7,645,1730
false,6,645,1730
false,5,645,1730
false,4,645,1730
false,3,645,1730
false,2,645,1730
false,1,645,1730
false,7,1600,0
false,6,1500,0
false,5,1500,0
false,4,1500,0
false,3,1500,0
false,2,1500,0
false,7,1000,1800
false,6,1000,1800
false,5,1000,1900
false,4,1000,1800
false,3,1000,1800
false,2,1000,1800
false,1,1100,1700
false,6,800,2300
false,5,800,2200
false,4,800,2200
false,3,800,2200
false,2,800,2200
false,7,800,2200
false,6,700,2200
false,5,700,2100
false,4,700,2100
false,3,700,2100
false,2,700,1700
false,1,800,2100
